Core Team Members (math-based listing, not curated)				
Total	Form #	Tier #		
214	14	100	Rémi	Gau
62	18	22	Katja	Heuer
54	12	21	Isil	Bilgin
45	17	14	Stephanie	Noble
44	18	13	Johanna	Bayer
43	15	14	Katherine	Bottenhorn
42	14	14	Yu-fang	Yang
36	12	12	Sofie	Van Den Bossche
30	10	10	Elizabeth (Liza)	Levitis
26	8	9	Jon Haitz	Legarreta
26	12	7	Shawn	Rhoads
24	10	7	Christoph	Vogelbacher
22	12	5	Samuel	Guay
22	10	6	Malin	Sandström
20	10	5	Richard	Bethlehem
20	10	5	Valentina	Borghesani
20	8	6	Dorien	Huijser
20	6	7	Hao-Ting	Wang
			Selim	Atay
18	8	5	AmanPreet	Badhwar
17	7	5	Guillaume	Dumas
17	8	4.5	Peer	Herholz
17	11	3	Xenia	Kobeleva
16	10	3	Simon	Schwab
14	8	3	Michael	Dayan
14	8	3	Stefano	Moia
13	9	2	Mac	Shine
12	4	4	Yasmine	Bassil
12	8	2	Paula	Brooks
10	4	3	Gael	Varoquaux
9	3	3	Julia	Huntenburg
9	3	3	Samuel	Nastase
9	3	3	David	O'Connor
8	2	3	Matteo	Mancini
7	3	2	Davide	Poggiali
7	3	2	Xihe	Xie
6	2	2	Patrick	Friedrich
6	2	2	Anibal	Heinsfeld
6	4	1	Lydia	Riedl
6	4	1	Roberto	Toro
5	1	2	César	Caballero-Gaudes
5	1	2	Anders	Eklund
5	1	2	Kelly	Garner
5	1	2	Christopher	Nolan
4	4		Damion	Demeter
3	1	1	Fernando	Barrios
3	1	1	Junaid	Merchant
3	1	1	Elizabeth	McDevitt
3	3		Robert	Oostenveld
2	2		Cameron	Craddock
2	2		Ariel	Rokem
1	1		Andrew	Doyle
1	1		Satrajit	Ghosh
1	1		Camille	Maumet
1	1		Aki	Nikolaidis
1	1		Olivia	Stanley
1	1		Eneko	Uruñuela