I would like to be added to the Brainhack Community consortium. I have read and approve of submission of this manuscript for peer review.,First and Last Name,Affiliation,List the Brainhack events that you have been involved in.,Participated in event,Organized an event,Taught at event,ORCID username (optional),Twitter username (optional),GitHub username (optional),OSF username (optional)
Checked,Abigail S. Greene,"Interdepartmental Neuroscience Program and MD/PhD program, Yale School of Medicine, New Haven, CT, USA","Brainhack Global, NY, 2017
Brainhack Global: Yale, 2019",Participated,-,-,0000-0001-6011-7903,abigails_greene,0,0
Checked,Dustin Scheinost,"Department of Radiology & Biomedical Imaging, Yale School of Medicine","NYC Brainhack 2014
Yale Brainhack 2018 and 2019",Participated,Organized,Taught,0000-0002-6301-1167,DScheinost,0,0
Checked,David N. Kennedy,University of Massachusetts Medical School,"OHBM Brainhack 2020
OHBM Brainhack 2019
OHBM Brainhack 2018
Brainhack Global - Boston 2018
More...",Participated,Organized,Taught,0000-0002-9377-0797,0,dnkennedy,0
Checked,Michael P. Milham,"Center for the Developing Brain, Child Mind Institute, New York, NY USA","Leipzig (2012), Paris (2013), Berlin (2014), NHP/London (2019)",Participated,Organized,-,0,@MilhamMichael,0,0
Checked,Samir Das,McGill University,Most of them. Every HBM hackathon. Some McGill Brainhack events.I have lost track of each one over the years.,Participated,Organized,Taught,0000-0003-2018-8760,0,samirdas,0
Checked,Chao Jiang,"Key Laboratory of Behavioral Sciences, Institute of Psychology, Chinese Academy of Sciences, Beijing, China",Brainhack 2020 Beijing & Nanning,Participated,Organized,-,0,0,0,0
Checked,Alexandru Iordan,"Department of Psychology, University of Michigan, Ann Arbor, MI, USA","Brainhack Global-A2, March 2-5, 2017",Participated,-,Taught,0,0,0,0
Checked,Saige Rutherford,"Department of Psychiatry, University of Michigan","Brainhack global 2020 (University of Pittsburgh), OHBM brainhack 2019, Brainhack global 2018 (Ann Arbor, MI), Neurohackademy 2017",Participated,Organized,Taught,0000-0003-3006-9044,being_saige,saigerutherford,0
Checked,Molly Simmonite,"Department of Psychology, University of Michigan, Ann Arbor, USA","Brainhack-Global-A2 - 2017
Brainhack-Global-A2 - 2018",Participated,-,-,0000-0001-7181-8094,mollysimmonite,mollysimmonite,0
Checked,Krisanne Litinas,"Functional MRI Laboratory, University of Michigan, Ann Arbor, USA","Brainhack Global 2018 - Ann Arbor
Brainhack Global 2017 - Ann Arbor
BrainHack AMX 2016 - Ann Arbor
BrainHack Americas 2015 - Ann Arbor
BrainHackEDT 2014 - Ann Arbor",Participated,Organized,-,0,0,0,0
Checked,Vincent Koppelmans,"Department of Psychiatry, University of Utah, Salt Lake City, UT, USA","2014 and 2017 University of Michigan Brain Hack, organized by Scott Peltier",Participated,-,-,0000-0003-2036-7603,vkoppelmans,vnckppl,0
Checked,B.T. Thomas Yeo,"Department of Electrical and Computer Engineering, Centre for Sleep & Cognition & Centre for Translational MR Research, National University of Singapore, Singapore, Singapore",OHBM Brainhack 2018,-,Organized,-,0000-0002-0119-3276,bttyeo,yeoyeo02,0
Checked,Kendra Oudyk,"Montreal Neurological Institute, McGill University, Montreal, Canada","OHBM BrainHack 2019 (Rome) and 2020 (virtual), BrainHack Global Montreal 2019 and 2020ish",Participated,Organized,Taught,0000-0003-4087-5402,koudyk_,koudyk,0
Checked,Désirée Lussier,Centre de recherche de l'Institut universitaire de gériatrie de Montréal,"Brainhack MTL 2019, Brainhack MTL 2020ish, Brainhack School MTL 2020",-,Organized,Taught,0000-0001-6468-573X,desiree_lussier,dllussier,0
Checked,Yaroslav O. Halchenko,"Center for Open Neuroscience, Department of Psychological and Brain Sciences, Dartmouth College, Hanover, NH, USA","Participant: OHBM Brainhack 2011, 2013, 2015, 2016, 2017, 2019
Organizer: Brainhack Global @ Dartmouth College 2017, 2018",Participated,Organized,Taught,0000-0003-3456-2493,yarikoptic,yarikoptic,jzv4p
Checked,Daniele Marinazzo,"Department of Data Analysis, Ghent University, Belgium","Organizer of Brainhack networks 2018 and 2019, Organizer of Brainhack Ghent 2017-2018
Participated in brainhack global in 2020 with the eeg-notebooks project, and in th OHBM Brainhacks when they were in the open science room during the conference",Participated,Organized,Taught,0000-0002-9803-0122,dan_marinazzo,danielemarinazzo,Daniele Marinazzo
Checked,dipankar bachar,"INT, Aix Marseille University, CNRS, Institut de Neurosciences de la Timone, marseille , France","BrainHack Marseille 2019, BrainHack Marseille 2020",Participated,Organized,Taught,0,dumaatravaie,dumaatravaie,0
Checked,David Meunier,"Aix Marseille Univ, CNRS, INT, Inst Neurosci Timone, Marseille, France",Brainhack Marseillle 2019 & 2020 (Brainhack Global 2019 & 2020); OSR (Open science Room) OHBM 2020,Participated,Organized,Taught,https://orcid.org/0000-0002-5812-6138,0,https://github.com/davidmeunier79,0
Checked,Dipankar Bachar,"Institut de Neurosciences de la Timone, Marseille","BrainHack Marseille 2019, BrainHack MArseille 2020",Participated,Organized,Taught,0,dumaatravaie,dumaatravaie,0
Checked,Martin Szinte,"Institut de Neurosciences de la Timone, CNRS - Aix-Marseille University, Marseille, France","Brainhack Marseille 2019, Brainhack Marseille 2020",Participated,Organized,Taught,0000-0003-2040-4005,@SzinteM,mszinte,j7x9y
Checked,Ali R. Khan,"Robarts Research Institute, Western University, London, Canada",Brainhack Global 2017-2020 (Brainhack Western site),Participated,Organized,Taught,0000-0002-0760-8647,neuroak,akhanf,77njv
Checked,Christopher J. Markiewicz,"Department of Psychology, Stanford University, Stanford, CA, USA","OHBM 2018-2020, BHG 2017-2020",Participated,Organized,-,0000-0002-6533-164X,effigies,effigies,p5efr
Checked,Fang-Cheng Yeh,University of Pittsburgh,"Pitt Hackathon, DeBurghing,",Participated,-,-,0000-0002-7946-2173,0,0,0
Checked,Emily Olafson,"Department of Neuroscience, Weill Cornell Medicine, New York City, USA",Brainhack NY 2020,Participated,Organized,-,0,0,@emilyolafson,0
Checked,Daniel Handwerker,"Section on Functional Imaging Methods, National Institute of Mental Health, Bethesda, MD, USA",NIH BrainHack 2018 (https://brainhacknih.github.io/NIHBrainHack2018/),Participated,Organized,-,0000-0001-7261-4042,@DanHandwerker,handwerkerd,9jwyr
Checked,Hayli Spence,"Section on Molecular Neurobiology, National Institute of Child and Human Development, Bethesda, MD",Brainhack DC 2019,Participated,-,-,0,0,0,0
Checked,Nandita Vijayakumar,"School of Psychology, Deakin University, Melbourne, Australia","Eugene Brainhack 2017, Eugene Brainhack 2018",Participated,Organized,Taught,https://orcid.org/0000-0002-5622-9547,0,@nandivij,0
Checked,Giorgio Marinato,"CIMeC, University of Trento, Trento, Italy",Brainhack Global Montreal Edition 2020,Participated,-,-,0000-0001-8856-5003,neurogima,neurogima,nhdtf
Checked,Guillaume Flandin,"Wellcome Centre for Human Neuroimaging, University College London, London, UK","Brainhack Warwick 2017, OHBM 2020, Donostia 2020.",Participated,-,Taught,0000-0003-0077-7859,0,0,0
Checked,Elise Bannier,"CHU Rennes, Radiology Department / Univ Rennes, CNRS, Inria, Inserm, IRISA UMR 6074, Empenn - ERL U 1228, F-35000 Rennes, France",Brainhack Rennes 2019,Participated,-,-,0000-0002-8942-7486,@BannierElise,ebannier2018,0
Checked,Lisa Novello,"Center for Mind/Brain Sciences (CIMeC), University of Trento, Rovereto (Trento), Italy",Brainhack Micro2Macro 2021,Participated,-,-,0000-0003-0767-2902,novellisa91,0,0
Checked,Patrick Callahan,"Memory and Aging Center, UCSF","Brainhack Global San Francisco 2019, Brainhack 2020ish",Participated,-,-,0000-0003-1769-7580,0,0,0
Checked,John Flournoy,"Department of Psychology, Harvard University, Cambridge, MA, USA","Brainhack Global 2017 @ Eugene, OR",Participated,Organized,Taught,0000-0003-1735-1221,flourneuro,jflournoy,43niq
Checked,Caroline O'Brien,"Department of Neuroscience, Georgetown University, Washington, DC, United States","BrainHack Global 2020, Washington DC",Participated,Organized,-,0,0,0,0
Checked,Catherine Alice Hahn,"Department of Radiology and Biomedical Imaging, Yale School of Medicine",Brainhack New Haven 2019,Participated,-,-,0,0,0,0
Checked,Claire Cury,"Empenn ERL U 1228 IRISA UMR 6074, Univ Rennes, Inria, CNRS, Inserm, Rennes, France","Brainhack Global Rennes 2018 (co-chair), and Global Western France 2019",Participated,Organized,-,0000-0002-9903-7940,CuryClaire,cclairec,0
Checked,John A. Onofrey,"Departments of Radiology & Biomedical Imaging and of Urology, Yale School of Medicine, New Haven, USA",Brainhack Yale 2019,-,-,Taught,0000-0002-9432-0448,0,j-onofrey,0
Checked,Siyuan Gao,Yale University,Brainhack Yale 2019,-,-,Taught,0000-0002-8925-7042,0,0,0
Checked,Corey Horien,"Interdepartmental Neuroscience Program, Yale School of Medicine, New Haven, CT, USA",Yale Brainhack 2018 and 2019,Participated,Organized,Taught,0,@coreyhorien,0,0
Checked,Corey Horien,"Interdepartmental Neuroscience Program, Yale School of Medicine, New Haven, CT, USA",Yale Brainhack 2018 and 2019,Participated,Organized,Taught,0,@coreyhorien,0,0
Checked,Marco Bedini,"Center for Mind/Brain Sciences, University of Trento","Brainhack Global “in Padova” 2020 - Brainhack Diversity. Inter-individual variability in cognitive and clinical neuroscience: signal or noise?
Brainhack Global in Padova 2019: Brain Asymmetries Edition",Participated,-,-,https://orcid.org/0000-0002-2018-5175,marco_bedini,0,0
Checked,Javier Gonzalez-Castillo,NIH,Brainhack Global 2018,-,Organized,-,0000-0002-6520-5125,@javiergcas,javiergcas,0
Checked,Fernando A. Barrios,"Universidad Nacional Autónoma de México, Instituto de Neurobiología","Brainhack Mexico 2005, local bainhacks",Participated,Organized,Taught,0000-0002-5699-4222,0,fabarrios,yvc72
Checked,Krista DeStasio,University of Oregon,"2017 Organizer, Brainhack Global, Eugene Oregon Site 
2018 Organizer, Brainhack Global, Eugene Oregon Site",Participated,Organized,-,0000-0002-3959-9060,psychneurd,kdestasio,0
Checked,Enrico Glerean,"Department of Neuroscience and Biomedical Engineering, Aalto University, Espoo, Finland; International Laboratory of Social Neurobiology, Institute of Cognitive Neuroscience, National Research University Higher School of Economics, Moscow, Russia",Brainhack Finland 2018,Participated,Organized,Taught,0000-0003-0624-675X,eglerean,eglerean,0
Checked,Pablo F. Damasceno,"Center for Intelligent Imaging, University of California, San Francisco, USA",San Francisco Brainhack 2020,-,Organized,-,0000-0001-5615-121X,DamascenoPF,pfdamasceno,0
Checked,Kamalaker Dadi,INRIA,"BrainHack in Paris (2016)
BrainHack event at OHBM (2017)
BrainHack Global in Paris (2017)
BrainHack Anatomy in Paris (2018)",Participated,-,Taught,0000-0003-2214-1050,KamalakerD,KamalakerDadi,KamalakerDadi
Checked,Lucy Whitmore,"Department of Psychology, University of Oregon, Eugene OR",Brainhack Eugene (2019),Participated,Organized,-,0,_lucywhitmore,0,0
Checked,Jessica E. Flannery,"University of North Carolina, Chapel Hill","BrainHack 2018, Eugene Chapter, presented talk ""Preregistration: Challenges and Solutions for fMRI""
BrainHack 2019, Eugene Chapter, presented talk ""Preregistration: updated challenges and solutions for complex study design""",Participated,-,Taught,0000-0003-0710-2512,j_flan,jessicaflannery,Jessica Flannery
Checked,Scott Peltier,"Functional MRI Laboratory, University of Michigan, Ann Arbor, USA","Brainhack EDT - A2 (2014, Co-organizer), BrainHack Americas - A2 (2015, Co-organizer), Brainhack Vienna (2016, attendee), Brainhack Global -A2 (2017,2018, Co-organizer)",Participated,Organized,Taught,0,0,0,0
Checked,Michael Joseph,"Campbell Family Mental Health Research Institute, The Centre for Addiction and Mental Health, Toronto, Canada","BrainHack Toronto 2018, 2019, 2020; BrainHack Donostia 2020; OHBM BrainHack 2020",Participated,Organized,Taught,0000-0002-0068-230X,0,josephmje,0
Checked,Dylan M. Nielson,"Section on Clinical and Computational Psychiatry (CompΨ), National Institute of Mental Health, National Institutes of Health, Bethesda, Maryland",Participant in OHBM Brainhacks from 2017 to 2020. Organized 2 AFNI code sprints based on Brainhack principles. Taught and participated at Neurohackademy in 2018.,Participated,Organized,Taught,0000-0003-4613-6643,shotgunosine,shotgunosine,gzdr5
Checked,Marissa Laws,"Center for the Study of Learning, Georgetown University Medical Center, Washington DC, USA","Brainhack DC 2020, Brainhack DC 2019, Neurohackademy 2020",Participated,Organized,Taught,0000-0002-2482-3285,mlawshp,ml1796,8jg72
Checked,Lorenzo Pasquini,"Neurology Department, Memory and Aging Center, University of California San Francisco",Brainhack San Francisco 2018,Participated,Organized,-,0000-0002-7899-7061,@lollo_pasquini,lollopasquini,0
Checked,Joscelin Rocha Hidalgo,Georgetown University,DC Brainhack 2020,Participated,Organized,Taught,https://orcid.org/0000-0003-3572-5848,@JoscelinRocha,https://github.com/Joscelinrocha,https://osf.io/ytjfb/
Checked,Arshitha Basavaraj,National Institute of Mental Health,"OHBM 2020 Brainhack
Brainhack DC 2020",Participated,Organized,-,https://orcid.org/0000-0002-6984-7969,@arshitha94,https://github.com/Arshitha,0
Checked,Pedro Pinheiro-Chagas,Stanford University,San Francisco 2018,Participated,-,-,0,ppinheirochagas,pinheirochagas,0
Checked,Deena Shariq,"University of Maryland, College Park",Brainhack DC,Participated,-,-,0,deenashariq,0,0
Checked,Sarah Dziura,"Department of Psychology, University of Maryland, College Park, MD, USA",Brainhack DC 2019,Participated,-,-,0000-0002-5072-4299,drdziura,0,w4dfx
Checked,Valentina Borghesani,"Psychology Department, Université de Montréal, Montréal, Canada","San Francisco 2018 and 2019, Montreal 2020",Participated,Organized,-,0000-0002-7909-8631,vborghesani,vborghe,bk3mv
Checked,Viviana Siless,Athinoula A. Martinos Center for Biomedical Imaging - Harvard Medical School - MGH,I co-organized the Boston Brainhack at MIT 2018: https://brainhack-boston.github.io/,-,Organized,-,0,vsiless,vsiless,0
Checked,`xcvzb f,afsdfgfgfds,asdasdasdasdadasd,Participated,Organized,-,asdasd,asdasdsa,0,0
