YYYY-MM-DD,Country,City,Theme/title/topic,lat,lon,Continent
2012-09-01,Germany,Leipzig,Brainhack & Unconference,51.3396955,12.3730747,Europe
2013-06-16,United States of America,Seattle,OHBM Hackathon,47.6062095,-122.3320708,North America
2013-10-23,France,Paris,Brainhack Paris,48.856614,2.3522219,Europe
2014-07-05,Germany,Berlin,OHBM Hackathon,52.5200066,13.404954,Europe
2014-10-18,United States of America,Ann Arbor,Brainhack EDT,42.2808256,-83.7430378,North America
2014-10-18,United States of America,Boston,Brainhack EDT,42.3600825,-71.0588801,North America
2014-10-18,United States of America,Miami,Brainhack EDT,25.7616798,-80.1917902,North America
2014-10-18,Canada,Montreal,Brainhack EDT,45.5016889,-73.567256,North America
2014-10-18,United States of America,New York City,Brainhack EDT,40.7127753,-74.0059728,North America
2014-10-18,Brazil,Porto Alegre,Brainhack EDT,-30.0346471,-51.2176584,South America
2014-10-18,Canada,Toronto,Brainhack EDT,43.653226,-79.3831843,North America
2014-10-18,United States of America,Washington D.C.,Brainhack EDT,38.9071923,-77.0368707,North America
2015-06-12,United States of America,Honolulu,OHBM Hackathon,21.3069444,-157.8583333,North America
2015-07-27,Canada,Montreal,Brainhack Montreal,45.5016889,-73.567256,North America
2015-10-23,United States of America,Ann Arbor,Brainhack Americas,42.2808256,-83.7430378,North America
2015-10-23,United States of America,Berkeley,Brainhack Americas,37.8715226,-122.273042,North America
2015-10-23,United States of America,Los Angeles,Brainhack Americas,34.0522342,-118.2436849,North America
2015-10-23,United States of America,Miami,Brainhack Americas,25.7616798,-80.1917902,North America
2015-10-23,United States of America,New York City,Brainhack Americas,40.7127753,-74.0059728,North America
2015-10-23,United States of America,Seattle,Brainhack Americas,47.6062095,-122.3320708,North America
2015-10-23,Brazil,Porto Alegre,Brainhack Americas,-30.0346471,-51.2176584,South America
2015-10-23,Mexico,Querétaro,Brainhack Americas,20.5887932,-100.3898881,North America
2016-02-24,France,Paris,Brainhack Paris,48.856614,2.3522219,Europe
2016-06-23,Switzerland,Lausanne,OHBM Hackathon,46.5196535,6.6322734,Europe
2016-09-18,Austria,Vienna,Brainhack: Reliability&Reproducibility in Connectomics,48.2081743,16.3738189,Europe
2016-11-10,United States of America,Los Angeles,Brainhack: Big Data Tools for Connectomics,34.0522342,-118.2436849,North America
2017-03-02,Mexico,Queretaro,Brainhack Global Queretaro,20.5887932,-100.3898881,North America
2017-03-02,United States of America,Urbana,Brainhack Global Urbana,40.1105875,-88.2072697,North America
2017-03-02,United States of America,Seattle,Brainhack Global Seattle,47.6062095,-122.3320708,North America
2017-03-02,United States of America,New York City,Brainhack Global NYC,40.7127753,-74.0059728,North America
2017-03-02,United States of America,Madison,Brainhack Global Madison,43.0730517,-89.4012302,North America
2017-03-02,United States of America,Iowa,Brainhack Global Iowa,41.8780025,-93.097702,North America
2017-03-02,United States of America,Hanover,Brainhack Global Dartmouth,43.861077,-72.120314,North America
2017-03-02,United States of America,Durham,Brainhack Global Durham,35.9940329,-78.898619,North America
2017-03-02,United States of America,Washington D.C.,Brainhack Global Washington,38.9071923,-77.0368707,North America
2017-03-02,United States of America,Boston,Brainhack Global Boston,42.3600825,-71.0588801,North America
2017-03-02,United States of America,Bloomington,Brainhack Global Bloomington,39.165325,-86.5263857,North America
2017-03-02,United States of America,Birmingham,Brainhack Global Birmingham,33.5185892,-86.8103567,North America
2017-03-02,United States of America,Ann Arbor,Brainhack Global Ann Arbor,42.2808256,-83.7430378,North America
2017-03-02,United States of America,Albuquerque,Brainhack Global Albuquerque,35.0843859,-106.650422,North America
2017-03-02,Canada,Toronto,Brainhack Global Toronto,43.653226,-79.3831843,North America
2017-03-02,Canada,Montreal,Brainhack Global MTL,45.5016889,-73.567256,North America
2017-03-02,Canada,London,Brainhack Global London,42.983612,-81.249725,North America
2017-03-02,Switzerland,Zurich,Brainhack Global Zurich,33.0727467,-96.8236665,Europe
2017-03-02,United Kingdom of Great Britain and Northern Ireland,York,Brainhack Global York,39.9625984,-76.727745,Europe
2017-03-02,United Kingdom of Great Britain and Northern Ireland,Coventry,Brainhack Global Warwick,52.406822,-1.519693,Europe
2017-03-02,Netherlands,Rotterdam,Brainhack Global Rotterdam,51.9244201,4.4777326,Europe
2017-03-02,France,Paris,Brainhack Global Paris,48.856614,2.3522219,Europe
2017-03-02,Germany,Munich,Brainhack Global Munich,48.1351253,11.5819805,Europe
2017-03-02,Germany,Leipzig,Brainhack Global Leipzig,51.3396955,12.3730747,Europe
2017-03-02,United Kingdom of Great Britain and Northern Ireland,Cambridge,Brainhack Global Cambridge,52.2042666,0.1149085,Europe
2017-03-02,Spain,Bilbao,Brainhack Global Bilbao,43.2630126,-2.9349852,Europe
2017-03-02,Netherlands,Amsterdam,Brainhack Global Amsterdam,52.3675734,4.9041389,Europe
2017-03-02,Japan,Wako,Brainhack Global Wako,35.7813326,139.6058063,Asia
2017-03-02,Singapore,Singapore,Brainhack Global Singapore,1.352083,103.819836,Asia
2017-03-02,China,Beijing,Brainhack Global Beijing,39.9041999,116.4073963,Asia
2017-03-03,Sweden,Stockholm,Brainhack Global Stockholm,59.3293235,18.0685808,Europe
2017-03-03,Chile,Valparaíso,Brainhack Global Valparaíso,-33.047238,-71.6126885,South America
2017-03-03,Brazil,Porto Alegre,Brainhack Global Porto Alegre,-30.0346471,-51.2176584,South America
2017-03-03,United States of America,Miami,Brainhack Global Miami,25.7616798,-80.1917902,North America
2017-03-03,United States of America,San Francisco,Brainhack Global San Francisco,37.7749295,-122.4194155,North America
2017-03-03,United States of America,St. Louis,Brainhack Global St. Louis,38.6270025,-90.1994042,North America
2017-03-04,United States of America,Eugene,Brainhack Global Eugene,44.0520691,-123.0867536,North America
2017-04-12,Belgium,Ghent,Brainhack Ghent,51.0543422,3.7174243,Europe
2017-05-09,France,Paris,Brainhack: Brain Lesions,48.856614,2.3522219,Europe
2017-06-22,Canada,Vancouver,OHBM hackathon 2017,49.2827,-123.1207,North America
2017-08-11,Canada,Toronto,Back to the BrainHack,43.653226,-79.3831843,North America
2017-08-24,Canada,Montreal,Deep Brainhack: Neurosci + DeepLearning,45.5016889,-73.567256,North America
2017-09-25,United Kingdom of Great Britain and Northern Ireland,London,Brainhack: Clinical Neuroanatomy,51.5073509,-0.1277583,Europe
2017-11-08,United States of America,Washington D.C.,SfN Brainhack DC: NaturalisticViewing,38.9071923,-77.0368707,North America
2017-11-18,Poland,Warsaw,AoN Brainhack Warsaw,52.2296756,21.0122287,Europe
2017-12-18,Germany,Leipzig,Brainhack Gradients,51.3396955,12.3730747,Europe
2018-02-19,France,Paris,Brainhack Anatomy,48.856614,2.3522219,Europe
2018-03-22,United States of America,Atlanta,Brainhack Global Atlanta,33.7489954,-84.3879824,North America
2018-04-13,China,Beijing,Brainhack Global Beijing,39.9041999,116.4073963,Asia
2018-04-25,France,Rennes,Brainhack Global Rennes,48.117266,-1.6777926,Europe
2018-04-26,Canada,Montreal,Brainhack Global MTL,45.5016889,-73.567256,North America
2018-05-02,India,Hyderabad,Brainhack Global Hyderabad,17.385044,78.486671,Asia
2018-05-02,Ireland,Dublin,Brainhack Global Dublin,53.3498053,-6.2603097,Europe
2018-05-02,United States of America,Ann Arbor,BRainhack Global Ann Arbor,42.2808256,-83.7430378,North America
2018-05-02,United States of America,Los Angeles,Brainhack Global LA,34.0522342,-118.2436849,North America
2018-05-02,United States of America,New York City,Brainhack Global NYC,40.7127753,-74.0059728,North America
2018-05-02,United Kingdom of Great Britain and Northern Ireland,London,Brainhack Global London,51.5073509,-0.1277583,Europe
2018-05-02,Spain,San Sebastian,Brainhack Global Donostia,43.318334,-1.9812313,Europe
2018-05-02,Switzerland,Zurich,Brainhack Global Zurich,33.0727467,-96.8236665,Europe
2018-05-02,Finland,Espoo,Brainhack Global Espoo,60.2054911,24.6559,Europe
2018-05-02,France,Paris,Brainhack Global Paris,48.856614,2.3522219,Europe
2018-05-02,United States of America,Baltimore,BHG Baltimore: Whole Brain Vol Registration,39.2903848,-76.6121893,North America
2018-05-02,United States of America,Bethesda,Brainhack Global Bethesda,33.9214924,-84.0840795,North America
2018-05-02,United States of America,Bloomington,Brainhack Global Bloomington,39.165325,-86.5263857,North America
2018-05-02,United States of America,Boston, Brainhack Global Boston,42.3600825,-71.0588801,North America
2018-05-02,United States of America,Detroit,Brainhack Global Detroit,42.331427,-83.0457538,North America
2018-05-02,Canada,London,Brainhack Global Western,42.983612,-81.249725,North America
2018-05-03,Germany,Leipzig,Brainhack Global Leipzig,51.3396955,12.3730747,Europe
2018-05-03,Spain,Madrid,Brainhack Global Madrid,40.4167754,-3.7037902,Europe
2018-05-03,Germany,Marburg,Brainhack Global Marburg,50.8021728,8.7667933,Europe
2018-05-03,United States of America,Birmingham,Brainhack Global Birmingham,33.5185892,-86.8103567,North America
2018-05-03,United States of America,New Haven,Brainhack Global New Haven,41.308274,-72.9278835,North America
2018-05-03,United States of America,San Francisco,Brainhack Global San Francisco,37.7749295,-122.4194155,North America
2018-05-03,Canada,Toronto,Brainhack Global Toronto,43.653226,-79.3831843,North America
2018-05-04,Sweden,Stockholm,Brainhack Global Stockholm,59.3293235,18.0685808,Europe
2018-05-04,Germany,Magdeburg,Brainhack Global Magdeburg,52.1205333,11.6276237,Europe
2018-05-04,United States of America,Eugene,Brainhack Global Eugene,44.0520691,-123.0867536,North America
2018-05-05,Croatia,Zagreb,Brainhack Gloabl Zagreb,45.8150108,15.9819189,Europe
2018-05-07,Belgium,Ghent,Brainhack Global Ghent,51.0543422,3.7174243,Europe
2018-06-01,United States of America,Miami,Brainhack Global Miami,25.7616798,-80.1917902,North America
2018-06-09,France,Paris,Brainhack Networks,48.856614,2.3522219,Europe
2018-06-14,Singapore,Singapore,OHBM Hackathon,1.352083,103.819836,Asia
2018-10-24,Switzerland,Zurich,Brainhack Zurich,33.0727467,-96.8236665,Europe
2018-11-18,United States of America,Los Angeles,Brainhack LA,34.0522342,-118.2436849,North America
2018-12-05,Italy,Padova,Brainhack Evolution,45.4064349,11.8767611,Europe
2019-01-16,Netherlands,Leiden,OpenMR Benelux,52.161091,4.49015,Europe
2019-03-22,Switzerland,Geneva,Brainhack Open Geneva,46.2043907,6.1431577,Europe
2019-05-05,Spain,San Sebastian,Brainhack Donostia,43.318334,-1.9812313,Europe
2019-05-21,Canada,Toronto,CAN-ACN BrainHack ,43.653226,-79.3831843,North America
2019-06-06,Italy,Rome,OHBM Hackathon,41.9027835,12.4963655,Europe
2019-09-07,United Kingdom of Great Britain and Northern Ireland,London,Brainhack: Comparative MRI,51.5073509,-0.1277583,Europe
2019-11-03,Switzerland,Zurich,Brainhack Global Zurich,33.0727467,-96.8236665,Europe
2019-11-07,Switzerland,Geneva,Brainhack Global Geneva,46.2043907,6.1431577,Europe
2019-11-11,United States of America,Austin,Brainhack Global Austin,30.267153,-97.7430608,North America
2019-11-12,Italy,Padova,Brainhack Global Brain Asymmetries,45.4064349,11.8767611,Europe
2019-11-13,United States of America,Atlanta,Brainhack Global ATL,33.7489954,-84.3879824,North America
2019-11-13,United States of America,Princeton,Brainhack Global Princeton,40.3430942,-74.6550739,North America
2019-11-13,Germany,Marburg,Brainhack Global Marburg,50.8021728,8.7667933,Europe
2019-11-13,Canada,Toronto,BHG Individuality in Age of Big NeuroData,43.653226,-79.3831843,North America
2019-11-13,Canada,London,Brainhack Western,42.983612,-81.249725,North America
2019-11-13,France,Marseille,Brainhack Global Marseille,43.296482,5.36978,Europe
2019-11-13,United States of America,New York City,Brainhack Global NYC,40.7127753,-74.0059728,North America
2019-11-13,United States of America,Seattle,Brainhack Global Neuropixels,47.6062095,-122.3320708,North America
2019-11-13,Brazil,Porto Alegre,Brainhack Gloabal POA,-30.0346471,-51.2176584,South America
2019-11-13,United States of America,Boston,Brainhack Global Boston,42.3600825,-71.0588801,North America
2019-11-14,France,Rennes,Brainhack Global Western France,48.117266,-1.6777926,Europe
2019-11-14,United Kingdom of Great Britain and Northern Ireland,Cambridge,Brainhack Global Oxbridge,52.2042666,0.1149085,Europe
2019-11-14,United States of America,New Haven,Brainhack Global New Haven,41.308274,-72.9278835,North America
2019-11-15,United States of America,Eugene,Brainhack Global Eugene,44.0520691,-123.0867536,North America
2019-11-15,China,Shanghai,Brainhack Global Shanghai,31.230416,121.473701,Asia
2019-11-16,Croatia,Zagreb,Brainhack Gloabl Zagreb,45.8150108,15.9819189,Europe
2019-11-16,Poland,Toruń,Brainhack Global Toruń,53.0137902,18.5984437,Europe
2019-11-16,United States of America,Washington D.C.,Brainhack Global DC,38.9071923,-77.0368707,North America
2019-11-16,United States of America,Dallas,Brainhack Glabal Dallas,32.7766642,-96.7969879,North America
2019-11-22,Sweden,Stockholm,Brainhack Global Stockholm,59.3293235,18.0685808,Europe
2019-12-04,Canada,Montreal,Brainhack Global MTL,45.5016889,-73.567256,North America
2019-12-11,Austria,Vienna,BHG Vienna Evolution and Development,48.2081743,16.3738189,Europe
2019-12-13,Portugal,Lisbon,Brainhack Lisbon,38.7222524,-9.1393366,Europe
2019-12-15,China,Nanning,Brainhack Nanning,22.817002,108.366543,Asia
2020-01-21,Netherlands,Nijmegen,OpenMR Benelux,51.812565,5.837226,Europe
2020-02-20,United States of America,San Francisco,"Brainhack SF: Follow the tracts, dive deep!",37.7749295,-122.4194155,North America
2020-06-16,China,Beijing online,OHBM Brainhack 2020 - Asia Pacific hub,39.9041999,116.4073963,Asia
2020-06-16,Singapore,Singapore online,OHBM Brainhack 2020 - Asia Pacific hub,1.352083,103.819836,Asia
2020-06-16,Australia,Brisbane online,OHBM Brainhack 2020 - Asia Pacific hub,-27.4698,153.0251,Australia
2020-06-16,Belgium,Louvain online,OHBM Brainhack 2020 - Europe. Middle East and Africa hub,50.8798,4.7005,Europe
2020-06-16,Turkey,Ankara online,OHBM Brainhack 2020 - Europe. Middle East and Africa hub,39.925533,32.866287,Asia
2020-06-16,Canada,Montreal online,OHBM Brainhack 2020 - Americas hub,45.5016889,-73.567256,North America
2020-06-16,Mexico,Querétaro online,OHBM Brainhack 2020 - Americas hub,20.5887932,-100.3898881,North America
2020-06-16,United States of America,Austin online,OHBM Brainhack 2020 - Americas hub,30.267153,-97.7430608,North America
2020-06-16,United States of America,Bethesda online,OHBM Brainhack 2020 - Americas hub,33.9214924,-84.0840795,North America
2020-12-01,Turkey,Ankara online,Brainhack Global Ankara,39.925533,32.866287,Asia
2020-12-09,United States of America,Pittsburgh online,Brainhack Global Pittsburgh,40.4406,-79.9959,North America
2020-12-01,Germany,Marburg online,Brainhack Global Marburg,50.8021728,8.7667933,Europe
2020-12-02,Canada,Ontario online,Brainhack Global Ontario,51.2538,-85.3232,North America
2020-12-02,France,Marseille online,Brainhack Global Marseille ,43.296482,5.36978,Europe
2020-12-06,United States of America,Princeton online,Brainhack Global Princeton,40.3430942,-74.6550739,North America
2020-12-11,United States of America,NYC online,Brainhack Global NYC,40.7127753,-74.0059728,North America
2020-12-12,United States of America,DC online,Brainhack Global DC,38.9071923,-77.0368707,North America
2020-12-12,China,Beijing online,Brainhack Global Beijing,39.9041999,116.4073963,Asia
2020-12-01,Ireland,Avoca online,Brainhack Global Avoca,52.8587,-6.2141,Europe
2020-12-12,Croatia,Zagreb online,Brainhacl Global Zagrab,45.8150108,15.9819189,Europe
2020-12-14,Italy ,Padova online,Brainhack Global Padova,45.4064349,11.8767611,Europe