Final Core Team Members List (math + curated)						Core Math				
						Total	Form #	Tier #		
*	Rémi	Gau				214	14	100	Rémi	Gau
*	Stephanie	Noble				62	18	22	Katja	Heuer
*	Katja	Heuer				54	12	21	Isil	Bilgin
*	Katherine	Bottenhorn				45	17	14	Stephanie	Noble
*	Isil	Bilgin				44	18	13	Johanna	Bayer
*	Yu-fang	Yang				43	15	14	Katherine	Bottenhorn
*	Julia	Huntenburg				42	14	14	Yu-fang	Yang
*	Johanna	Bayer				36	12	12	Sofie	Van Den Bossche
*	Richard	Bethlehem				30	10	10	Elizabeth (Liza)	Levitis
	Shawn	Rhoads				26	8	9	Jon Haitz	Legarreta
	Christoph	Vogelbacher				26	12	7	Shawn	Rhoads
	Valentina	Borghesani				24	10	7	Christoph	Vogelbacher
	Elizabeth (Liza)	Levitis				22	12	5	Samuel	Guay
	Hao-Ting	Wang				22	10	6	Malin	Sandström
	Sofie	Van den bossche				20	10	5	Richard	Bethlehem
	Xenia	Kobeleva				20	10	5	Valentina	Borghesani
	Jon Haitz	Legarreta				20	8	6	Dorien	Huijser
	Samuel	Guay				20	6	7	Hao-Ting	Wang
	Melvin	Atay							Selim	Atay
	Gael	Varoquaux				18	8	5	AmanPreet	Badhwar
	Dorien	Huijser				17	7	5	Guillaume	Dumas
	Malin	Sandström				17	8	4.5	Peer	Herholz
	Peer	Herholz				17	11	3	Xenia	Kobeleva
	Samuel	Nastase				16	10	3	Simon	Schwab
	AmanPreet	Badhwar				14	8	3	Michael	Dayan
	Guillaume	Dumas				14	8	3	Stefano	Moia
	Simon	Schwab				13	9	2	Mac	Shine
	Stefano	Moia				12	4	4	Yasmine	Bassil
	Michael	Dayan				12	8	2	Paula	Brooks
	Yasmine	Bassil				10	4	3	Gael	Varoquaux
	Paula	Brooks				9	3	3	Julia	Huntenburg
	Matteo	Mancini				9	3	3	Samuel	Nastase
	Mac	Shine				9	3	3	David	O'Connor
	David	O'Connor				8	2	3	Matteo	Mancini
	Xihe	Xie				7	3	2	Davide	Poggiali
	Davide	Poggiali				7	3	2	Xihe	Xie
	Patrick	Friedrich				6	2	2	Patrick	Friedrich
	Lydia	Riedl				6	2	2	Anibal	Heinsfeld
	Roberto	Toro				6	4	1	Lydia	Riedl
	Anibal	Heinsfeld				6	4	1	Roberto	Toro
	César	Caballero-Gaudes				5	1	2	César	Caballero-Gaudes
	Anders	Eklund				5	1	2	Anders	Eklund
	Kelly	Garner				5	1	2	Kelly	Garner
	Christopher	Nolan				5	1	2	Christopher	Nolan
	Damion	Demeter				4	4		Damion	Demeter
	Fernando	Barrios				3	1	1	Fernando	Barrios
	Junaid	Merchant				3	1	1	Junaid	Merchant
	Elizabeth	McDevitt				3	1	1	Elizabeth	McDevitt
	Robert	Oostenveld				3	3		Robert	Oostenveld
	Cameron	Craddock				2	2		Cameron	Craddock
	Ariel	Rokem				2	2		Ariel	Rokem
	Andrew	Doyle				1	1		Andrew	Doyle
	Satrajit	Ghosh				1	1		Satrajit	Ghosh
	Aki	Nikolaidis				1	1		Aki	Nikolaidis
	Olivia	Stanley				1	1		Olivia	Stanley
	Eneko	Uruñuela				1	1		Eneko	Uruñuela